Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,32364,32177,187,0.58,1.9,0.46,4269924,DRONE
2,10.10.1.3,10.10.1.1,TCP,772,709,63,8.16,117.76,25.68,1153664,JAMMER
3,10.10.1.4,10.10.1.1,TCP,662,644,18,2.72,57.65,21.48,988664,JAMMER
4,10.10.1.5,10.10.1.1,TCP,166,159,7,4.22,26.46,16.95,244664,JAMMER
5,10.10.1.6,10.10.1.1,TCP,1074,1031,43,4.0,82.39,19.05,1606664,JAMMER
6,10.10.1.7,10.10.1.1,TCP,814,796,18,2.21,67.48,20.18,1216664,JAMMER
7,10.10.1.1,10.10.1.2,TCP,874,854,20,2.29,25.1,4.08,95412,DRONE
8,10.10.1.2,10.10.1.1,TCP,592,589,3,0.51,4.38,5.3,30948,DRONE
9,10.10.1.1,10.10.1.2,TCP,16149,16123,26,0.16,5.68,0.45,841104,DRONE
10,10.10.1.1,10.10.1.5,TCP,85,68,17,20.0,373.81,49.08,4424,
11,10.10.1.1,10.10.1.3,TCP,425,332,93,21.88,363.48,21.18,24488,
12,10.10.1.1,10.10.1.6,TCP,564,441,123,21.81,343.06,15.52,30972,
13,10.10.1.1,10.10.1.4,TCP,343,279,64,18.66,356.08,19.85,18256,
14,10.10.1.1,10.10.1.7,TCP,437,365,72,16.48,343.67,18.64,23512,
