Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,31560,31444,116,0.37,2.04,0.4,4181940,DRONE
2,10.10.1.3,10.10.1.1,TCP,356,338,18,5.06,124.3,39.84,529664,JAMMER
3,10.10.1.4,10.10.1.1,TCP,458,431,27,5.9,87.76,35.11,682664,JAMMER
4,10.10.1.5,10.10.1.1,TCP,70,63,7,10.0,28.37,27.52,100664,JAMMER
5,10.10.1.6,10.10.1.1,TCP,474,443,31,6.54,100.98,36.75,706664,JAMMER
6,10.10.1.7,10.10.1.1,TCP,713,689,24,3.37,109.11,28.64,1065164,JAMMER
7,10.10.1.1,10.10.1.2,TCP,876,849,27,3.08,20.76,2.98,98212,DRONE
8,10.10.1.2,10.10.1.1,TCP,604,600,4,0.66,3.75,3.94,31868,DRONE
9,10.10.1.1,10.10.1.2,TCP,15815,15754,61,0.39,3.27,0.38,824504,DRONE
10,10.10.1.1,10.10.1.5,TCP,38,30,8,21.05,297.8,81.14,1980,
11,10.10.1.1,10.10.1.3,TCP,210,151,59,28.1,338.93,30.19,11668,
12,10.10.1.1,10.10.1.6,TCP,265,198,67,25.28,345.44,28.75,14928,
13,10.10.1.1,10.10.1.4,TCP,238,180,58,24.37,333.76,26.25,12852,
14,10.10.1.1,10.10.1.7,TCP,377,306,71,18.83,349.68,22.13,20520,
