Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,12261,10942,1242,10.13,143.65,16.73,3550304,DRONE
2,10.10.1.3,10.10.1.1,TCP,11575,11456,102,0.88,56.43,19.46,16449764,JAMMER
3,10.10.1.4,10.10.1.1,TCP,11602,11473,124,1.07,66.29,20.83,17398664,JAMMER
4,10.10.1.5,10.10.1.1,TCP,12977,12816,159,1.23,64.31,18.06,17825684,JAMMER
5,10.10.1.6,10.10.1.1,TCP,10166,10068,82,0.81,56.44,21.43,15215224,JAMMER
6,10.10.1.7,10.10.1.1,TCP,13631,13491,140,1.03,65.02,19.34,19778756,JAMMER
7,10.10.1.1,10.10.1.2,TCP,1058,802,244,23.06,368.58,41.29,144304,DRONE
8,10.10.1.2,10.10.1.1,TCP,583,570,13,2.23,60.2,55.66,32216,DRONE
9,10.10.1.1,10.10.1.2,TCP,6408,5396,940,14.67,334.11,16.28,365364,DRONE
10,10.10.1.1,10.10.1.5,TCP,6679,5903,757,11.33,327.33,18.02,353684,
11,10.10.1.1,10.10.1.3,TCP,5999,5346,638,10.64,324.73,19.21,316584,
12,10.10.1.1,10.10.1.6,TCP,5320,4654,653,12.27,335.53,22.08,281364,
13,10.10.1.1,10.10.1.4,TCP,6009,5250,751,12.5,345.85,21.1,318232,
14,10.10.1.1,10.10.1.7,TCP,7109,6260,820,11.53,338.23,19.39,376800,
