Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,13780,12197,1534,11.13,144.86,15.48,3606028,DRONE
2,10.10.1.3,10.10.1.1,TCP,12027,11857,167,1.39,57.82,19.95,18036164,JAMMER
3,10.10.1.4,10.10.1.1,TCP,15170,15046,124,0.82,59.92,17.98,22750664,JAMMER
4,10.10.1.5,10.10.1.1,TCP,12575,12449,124,0.99,53.03,17.76,18858164,JAMMER
5,10.10.1.6,10.10.1.1,TCP,12054,11908,146,1.21,56.26,19.39,18076664,JAMMER
6,10.10.1.7,10.10.1.1,TCP,10759,10620,138,1.28,50.7,18.43,16134164,JAMMER
7,10.10.1.1,10.10.1.2,TCP,1135,853,272,23.96,348.37,41.77,162052,DRONE
8,10.10.1.2,10.10.1.1,TCP,633,622,10,1.58,71.74,63.3,35640,DRONE
9,10.10.1.1,10.10.1.2,TCP,7033,6040,974,13.85,303.96,14.49,397448,DRONE
10,10.10.1.1,10.10.1.5,TCP,6483,5734,724,11.17,302.03,18.09,342800,
11,10.10.1.1,10.10.1.3,TCP,6197,5527,648,10.46,312.34,19.42,329040,
12,10.10.1.1,10.10.1.6,TCP,6290,5633,649,10.32,305.29,18.43,332444,
13,10.10.1.1,10.10.1.4,TCP,7849,6940,890,11.34,302.1,16.94,414688,
14,10.10.1.1,10.10.1.7,TCP,5603,4974,611,10.9,299.48,19.66,297120,
